iter	Passed	Remaining
0	18	18611
1	22	11348
2	34	11335
3	45	11256
4	55	11026
5	67	11199
6	78	11071
7	90	11175
8	97	10750
9	111	11034
10	122	10981
11	134	11042
12	145	11046
13	158	11151
14	171	11231
15	186	11479
16	198	11505
17	208	11369
18	217	11249
19	229	11225
20	241	11263
21	253	11258
22	262	11143
23	273	11130
24	286	11192
25	298	11190
26	306	11052
27	316	10988
28	327	10958
29	339	10992
30	350	10961
31	360	10896
32	370	10845
33	383	10891
34	393	10841
35	402	10781
36	412	10748
37	425	10760
38	434	10700
39	447	10729
40	456	10676
41	466	10648
42	479	10666
43	496	10782
44	505	10736
45	516	10704
46	528	10714
47	541	10747
48	552	10728
49	563	10711
50	576	10720
51	588	10729
52	600	10733
53	613	10749
54	622	10688
55	634	10693
56	648	10721
57	659	10706
58	672	10728
59	685	10738
60	696	10721
61	710	10744
62	723	10766
63	735	10759
64	749	10776
65	762	10796
66	777	10830
67	787	10796
68	800	10798
69	810	10768
70	824	10783
71	837	10791
72	848	10770
73	862	10788
74	868	10706
75	882	10725
76	891	10684
77	903	10679
78	918	10707
79	932	10726
80	939	10660
81	948	10615
82	958	10594
83	976	10645
84	998	10744
85	1008	10722
86	1042	10945
87	1063	11020
88	1082	11080
89	1098	11111
90	1108	11070
91	1119	11052
92	1133	11058
93	1146	11049
94	1161	11063
95	1169	11008
96	1179	10982
97	1188	10941
98	1194	10874
99	1205	10852
100	1216	10831
101	1229	10826
102	1243	10826
103	1255	10817
104	1267	10801
105	1278	10779
106	1290	10772
107	1298	10724
108	1309	10707
109	1321	10689
110	1334	10688
111	1348	10692
112	1361	10686
113	1374	10681
114	1385	10662
115	1394	10627
116	1403	10590
117	1414	10573
118	1428	10574
119	1439	10557
120	1451	10544
121	1463	10530
122	1474	10513
123	1489	10519
124	1503	10523
125	1514	10503
126	1528	10508
127	1541	10503
128	1558	10523
129	1573	10528
130	1584	10509
131	1597	10507
132	1608	10488
133	1618	10461
134	1630	10448
135	1638	10411
136	1656	10436
137	1665	10404
138	1677	10391
139	1687	10364
140	1700	10356
141	1710	10335
142	1726	10344
143	1736	10324
144	1751	10326
145	1762	10311
146	1773	10289
147	1785	10280
148	1795	10253
149	1804	10226
150	1814	10204
151	1826	10188
152	1834	10157
153	1844	10134
154	1853	10101
155	1866	10099
156	1877	10080
157	1887	10060
158	1898	10043
159	1908	10019
160	1923	10022
161	1934	10008
162	1944	9986
163	1957	9979
164	1969	9968
165	1982	9960
166	1992	9941
167	2005	9930
168	2016	9913
169	2025	9887
170	2036	9871
171	2046	9849
172	2057	9834
173	2066	9812
174	2075	9782
175	2085	9765
176	2097	9751
177	2104	9718
178	2116	9705
179	2127	9693
180	2138	9676
181	2148	9654
182	2158	9638
183	2169	9619
184	2177	9592
185	2187	9573
186	2196	9549
187	2217	9578
188	2246	9640
189	2260	9636
190	2278	9650
191	2287	9625
192	2299	9616
193	2311	9601
194	2320	9579
195	2329	9554
196	2341	9543
197	2348	9513
198	2361	9506
199	2373	9495
200	2385	9484
201	2399	9480
202	2411	9467
203	2421	9447
204	2431	9429
205	2442	9414
206	2454	9402
207	2468	9399
208	2481	9390
209	2492	9376
210	2506	9371
211	2518	9360
212	2530	9349
213	2541	9335
214	2553	9323
215	2567	9318
216	2579	9308
217	2591	9294
218	2601	9277
219	2612	9264
220	2626	9259
221	2639	9250
222	2652	9243
223	2665	9234
224	2676	9217
225	2687	9204
226	2701	9200
227	2716	9198
228	2728	9184
229	2740	9174
230	2749	9152
231	2760	9137
232	2769	9117
233	2781	9105
234	2792	9089
235	2802	9074
236	2812	9055
237	2824	9041
238	2837	9034
239	2849	9023
240	2859	9006
241	2868	8984
242	2878	8966
243	2888	8950
244	2897	8929
245	2908	8914
246	2917	8892
247	2927	8876
248	2936	8856
249	2946	8839
250	2956	8822
251	2967	8807
252	2978	8793
253	2988	8777
254	2998	8759
255	3007	8741
256	3020	8733
257	3031	8718
258	3042	8704
259	3055	8696
260	3065	8680
261	3076	8664
262	3086	8649
263	3098	8637
264	3108	8621
265	3116	8600
266	3127	8585
267	3138	8571
268	3149	8558
269	3159	8543
270	3169	8527
271	3179	8510
272	3192	8501
273	3203	8488
274	3213	8470
275	3221	8450
276	3234	8442
277	3247	8434
278	3260	8425
279	3271	8413
280	3281	8395
281	3288	8373
